id	name	area_sqkm	center_lat	center_lng	current_ids
LK-1-pre1889	Western (pre 1889)	5378.12	6.917793	80.15183	['LK-1', 'LK-92']
LK-2-pre1886	Central (pre 1886)	7006.02	7.257907	80.770247	['LK-2', 'LK-8109', 'LK-8112', 'LK-8115', 'LK-8118', 'LK-8121', 'LK-8124', 'LK-8127', 'LK-8130', 'LK-8133', 'LK-8136', 'LK-8139']
LK-3-pre1886	Southern (pre 1886)	11960.89	6.413152	80.789985	['LK-3', 'LK-8142', 'LK-8221', 'LK-8224', 'LK-8227', 'LK-8230', 'LK-8233', 'LK-91']
LK-4	Northern	9037.42	9.136573	80.344321	['LK-4']
LK-5-pre1886	Eastern (pre 1886)	13873.57	7.545203	81.380927	['LK-5', 'LK-8103', 'LK-8106', 'LK-8119', 'LK-8203', 'LK-8206', 'LK-8209', 'LK-8212', 'LK-8215', 'LK-8218']
LK-6	North Western	8039.59	7.785644	80.109754	['LK-6']
LK-7	North Central	10688.0	8.262907	80.680367	['LK-7']
