id	name	area_sqkm	center_lat	center_lng	current_ids
LK-1-pre1889	Western (pre 1889)	5378.12	6.917793	80.15183	['LK-1', 'LK-92']
LK-2-pre1886	Central (pre 1886)	7006.02	7.257907	80.770247	['LK-2', 'LK-8109', 'LK-8112', 'LK-8115', 'LK-8118', 'LK-8121', 'LK-8124', 'LK-8127', 'LK-8130', 'LK-8133', 'LK-8136', 'LK-8139']
LK-3-pre1886	Southern (pre 1886)	11960.89	6.413152	80.789985	['LK-3', 'LK-8142', 'LK-8221', 'LK-8224', 'LK-8227', 'LK-8230', 'LK-8233', 'LK-91']
LK-4-pre1873	Northern (pre 1873)	14561.8	8.825802	80.375801	['LK-4', 'LK-7109', 'LK-7112', 'LK-7115', 'LK-7118', 'LK-7121', 'LK-7127', 'LK-7130', 'LK-7133', 'LK-7136', 'LK-7139', 'LK-7142', 'LK-7145', 'LK-7148', 'LK-7151', 'LK-7154', 'LK-7157', 'LK-7160', 'LK-7163', 'LK-7166']
LK-5-pre1873	Eastern (pre 1873)	19037.18	7.724056	81.264346	['LK-5', 'LK-7103', 'LK-7106', 'LK-7124', 'LK-72', 'LK-8103', 'LK-8106', 'LK-8119', 'LK-8203', 'LK-8206', 'LK-8209', 'LK-8212', 'LK-8215', 'LK-8218']
LK-6	North Western	8039.59	7.785644	80.109754	['LK-6']
