id	name	area_sqkm	center_lat	center_lng	current_ids
LK-1-pre1889	Western (pre 1889)	5378.12	6.917793	80.15183	['LK-1', 'LK-92']
LK-2	Central	5731.25	7.324022	80.717397	['LK-2']
LK-3-pre1889	Southern (pre 1889)	8832.0	6.355646	80.660688	['LK-3', 'LK-8221', 'LK-8224', 'LK-8227', 'LK-8230', 'LK-8233', 'LK-91']
LK-4	Northern	9036.49	9.136524	80.34433	['LK-4']
LK-5	Eastern	9636.66	7.746463	81.405301	['LK-5']
LK-6	North Western	8039.59	7.785644	80.109754	['LK-6']
LK-7	North Central	10688.0	8.262907	80.680367	['LK-7']
LK-8	Uva	8629.94	6.882412	81.216329	['LK-8']
