id	name	area_sqkm	center_lat	center_lng	current_ids
LK-1103	Colombo	24.54	6.945084	79.856234	['LK-1103']
LK-1106	Kolonnawa	25.93	6.93437	79.915175	['LK-1106']
LK-1109	Kaduwela	86.74	6.903511	79.977309	['LK-1109']
LK-1112	Homagama	120.32	6.833595	80.015498	['LK-1112']
LK-1115	Seethawaka	145.98	6.922503	80.147335	['LK-1115']
LK-1118	Padukka	106.19	6.833676	80.121779	['LK-1118']
LK-1121	Maharagama	37.8	6.856502	79.941942	['LK-1121']
LK-1124	Sri Jayawardanapura Kotte	16.32	6.891034	79.898428	['LK-1124']
LK-1127	Thimbirigasyaya	22.33	6.90017	79.869891	['LK-1127']
LK-1130	Dehiwala	8.46	6.858462	79.875429	['LK-1130']
LK-1131	Ratmalana	12.86	6.827061	79.877974	['LK-1131']
LK-1133	Moratuwa	19.3	6.782566	79.890891	['LK-1133']
LK-1136	Kesbewa	61.41	6.802645	79.928334	['LK-1136']
LK-1203	Negombo	29.19	7.212174	79.844401	['LK-1203']
LK-1206	Katana	107.8	7.193574	79.889949	['LK-1206']
LK-1209	Divulapitiya	203.16	7.253922	80.006882	['LK-1209']
LK-1212	Mirigama	188.81	7.225181	80.12288	['LK-1212']
LK-1215	Minuwangoda	132.12	7.155035	79.979044	['LK-1215']
LK-1218	Wattala	57.17	7.035208	79.88109	['LK-1218']
LK-1221	Ja Ela	62.45	7.072037	79.90888	['LK-1221']
LK-1224	Gampaha	91.82	7.07124	79.994244	['LK-1224']
LK-1227	Attanagalla	154.83	7.114342	80.109868	['LK-1227']
LK-1230	Dompe	179.18	6.990491	80.098929	['LK-1230']
LK-1233	Mahara	95.75	7.029309	80.01439	['LK-1233']
LK-1236	Kelaniya	21.94	6.970356	79.909863	['LK-1236']
LK-1239	Biyagama	61.01	6.968689	79.978247	['LK-1239']
LK-1303	Panadura	45.4	6.715794	79.923102	['LK-1303']
LK-1306	Bandaragama	57.08	6.718529	79.975934	['LK-1306']
LK-1309	Horana	111.36	6.756429	80.055471	['LK-1309']
LK-1310	Ingiriya	94.69	6.762529	80.15212	['LK-1310']
LK-1312	Bulathsinhala	211.03	6.648237	80.174565	['LK-1312']
LK-1315	Madurawala	62.19	6.651918	80.093422	['LK-1315']
LK-1318	Millaniya	79.42	6.658585	80.031028	['LK-1318']
LK-1321	Kalutara	75.57	6.620205	79.971212	['LK-1321']
LK-1324	Beruwala	73.52	6.488797	80.004738	['LK-1324']
LK-1327	Dodangoda	109.85	6.571467	80.044831	['LK-1327']
LK-1330	Matugama	138.88	6.488	80.090993	['LK-1330']
LK-1333	Agalawatta	92.24	6.515637	80.174536	['LK-1333']
LK-1336	Palindanuwara	284.12	6.506966	80.274635	['LK-1336']
LK-1339	Walallawita	211.65	6.406665	80.187579	['LK-1339']
LK-2103	Tumpane	50.92	7.365458	80.514548	['LK-2103']
LK-2106	Poojapitiya	58.6	7.400318	80.56578	['LK-2106']
LK-2109	Akurana	29.9	7.391395	80.617968	['LK-2109']
LK-2112	Pathadumbara	49.0	7.350373	80.661335	['LK-2112']
LK-2115	Panvila	92.63	7.409011	80.742498	['LK-2115']
LK-2118	Ududumbara	277.55	7.328827	80.874486	['LK-2118']
LK-2121	Minipe	249.31	7.348541	80.949201	['LK-2121']
LK-2124	Medadumbara	188.81	7.302731	80.800121	['LK-2124']
LK-2127	Kundasale	81.19	7.305382	80.708789	['LK-2127']
LK-2130	Gangawata Korale	59.61	7.273186	80.638555	['LK-2130']
LK-2133	Harispattuwa	49.5	7.328456	80.588236	['LK-2133']
LK-2134	Hatharaliyadda	63.99	7.331897	80.479684	['LK-2134']
LK-2136	Yatinuwara	69.11	7.282819	80.538023	['LK-2136']
LK-2139	Udunuwara	68.84	7.222683	80.559451	['LK-2139']
LK-2142	Doluwa	93.52	7.167758	80.647739	['LK-2142']
LK-2145	Pathahewaheta	83.84	7.229869	80.705347	['LK-2145']
LK-2148	Deltota	49.49	7.18303	80.700227	['LK-2148']
LK-2151	Udapalatha	94.12	7.126456	80.604496	['LK-2151']
LK-2154	Ganga Ihala Korale	96.17	7.112563	80.512388	['LK-2154']
LK-2157	Pasbagekorale	121.57	7.018554	80.53675	['LK-2157']
LK-2203	Galewela	196.94	7.779286	80.570693	['LK-2203']
LK-2206	Dambulla	453.33	7.875433	80.717938	['LK-2206']
LK-2209	Naula	287.89	7.688935	80.707889	['LK-2209']
LK-2212	Pallepola	82.9	7.647136	80.599248	['LK-2212']
LK-2215	Yatawatta	67.39	7.548664	80.588859	['LK-2215']
LK-2218	Matale	70.76	7.541057	80.629591	['LK-2218']
LK-2221	Ambanganga	55.38	7.561141	80.678754	['LK-2221']
LK-2224	Laggala	369.93	7.556182	80.807964	['LK-2224']
LK-2227	Wilgamuwa	290.84	7.603284	80.929334	['LK-2227']
LK-2230	Rattota	103.92	7.485932	80.685504	['LK-2230']
LK-2233	Ukuwela	79.47	7.429945	80.63884	['LK-2233']
LK-2303-pre2019	Kotmale	226.79	7.038477	80.656096	['LK-2302', 'LK-2303']
LK-2306-pre2019	Hanguranketa (pre 2019)	225.72	7.123265	80.776507	['LK-2306', 'LK-2307']
LK-2309-pre2019	Walapane (pre 2019)	322.89	7.0925	80.886866	['LK-2309', 'LK-2310']
LK-2312-pre2019	Nuwara Eliya (pre 2019)	482.58	6.907403	80.732349	['LK-2312', 'LK-2313']
LK-2315-pre2019	Ambagamuwa	486.84	6.864825	80.569068	['LK-2314', 'LK-2315']
LK-3103	Bentota	70.97	6.386622	80.055626	['LK-3103']
LK-3106	Balapitiya	54.26	6.314523	80.050593	['LK-3106']
LK-3109	Karandeniya	88.55	6.301085	80.100581	['LK-3109']
LK-3112	Elpitiya	150.64	6.290338	80.185674	['LK-3112']
LK-3115	Niyagama	104.37	6.302514	80.251476	['LK-3115']
LK-3118	Thawalama	173.7	6.292952	80.354998	['LK-3118']
LK-3121	Neluwa	152.51	6.360383	80.409622	['LK-3121']
LK-3124	Nagoda	173.43	6.199194	80.313741	['LK-3124']
LK-3127-pre2019	Baddegama (pre 2019)	112.86	6.13637	80.220154	['LK-3127', 'LK-3128']
LK-3130	Welivitiya-Divitura	56.47	6.206917	80.180778	['LK-3130']
LK-3133	Ambalangoda	49.22	6.222263	80.101832	['LK-3133']
