id	name	area_sqkm	center_lat	center_lng	current_ids
LK-1-pre1845	Western (pre 1845)	12009.02	7.345739	80.146584	['LK-1', 'LK-61', 'LK-6203', 'LK-6215', 'LK-6218', 'LK-6221', 'LK-6224', 'LK-6227', 'LK-6230', 'LK-6233', 'LK-6236', 'LK-6239', 'LK-6242', 'LK-6245', 'LK-6248', 'LK-92']
LK-2-pre1886	Central (pre 1886)	8603.21	7.240418	80.826734	['LK-2', 'LK-81']
LK-3-pre1886	Southern (pre 1886)	11545.72	6.40288	80.783528	['LK-3', 'LK-8221', 'LK-8224', 'LK-8227', 'LK-8230', 'LK-8233', 'LK-91']
LK-4-pre1845	Northern (pre 1845)	17664.41	8.759447	80.382368	['LK-4', 'LK-6206', 'LK-6209', 'LK-6212', 'LK-71']
LK-5-pre1873	Eastern (pre 1873)	16161.26	7.657561	81.324931	['LK-5', 'LK-72', 'LK-8203', 'LK-8206', 'LK-8209', 'LK-8212', 'LK-8215', 'LK-8218']
