id	name	area_sqkm	center_lat	center_lng
LK-11@1978	Colombo	2073.4	7.039240425928426	80.0182992650574
LK-13	Kalutara	1646.99	6.577185	80.127744
LK-21	Kandy	1927.69	7.273178	80.708811
LK-22	Matale	1954.49	7.671086	80.727823
LK-23	Nuwara Eliya	1744.81	6.974738	80.711186
LK-31	Galle	1613.49	6.222792	80.251811
LK-32	Matara	1306.37	6.142725	80.539846
LK-33	Hambantota	2625.06	6.254039	81.091281
LK-41@1984	Jaffna	2409.6	9.542014657026064	80.22188188027474
LK-42	Mannar	2010.83	8.878476	80.091433
LK-43	Vavuniya	1934.91	8.853162	80.470869
LK-44	Mullaitivu	2681.15	9.170128	80.552726
LK-51@1961	Batticaloa	6944.43	7.4334212586317365	81.52692884348032
LK-53	Trincomalee	2692.11	8.553962	81.091548
LK-61	Kurunegala	4905.71	7.664511	80.236804
LK-62	Puttalam	3133.88	7.975263	79.910874
LK-71	Anuradhapura	7218.29	8.392067	80.51313
LK-72	Polonnaruwa	3469.72	7.994209	81.028281
LK-81@1959	Badulla	8629.95	6.882411624431195	81.21632894451879
LK-91	Ratnapura	3287.08	6.586622	80.565541
LK-92	Kegalle	1657.73	7.104294	80.342772
