id	name
EC-01A	Colombo North
EC-01B	Colombo Central
EC-01C	Borella
EC-01D	Colombo East
EC-01E	Colombo West
EC-01F	Dehiwala
EC-01G	Ratmalana
EC-01H	Kolonnawa
EC-01I	Kotte
EC-01J	Kaduwela
EC-01K	Avissawella
EC-01L	Homagama
EC-01M	Maharagama
EC-01N	Kesbewa
EC-01O	Moratuwa
EC-02A	Wattala
EC-02B	Negombo
EC-02C	Katana
EC-02D	Divulapitiya
EC-02E	Mirigama
EC-02F	Minuwangoda
EC-02G	Attanagalla
EC-02H	Gampaha
EC-02I	Ja Ela
EC-02J	Mahara
EC-02K	Dompe
EC-02L	Biyagama
EC-02M	Kelaniya
EC-03A	Panadura
EC-03B	Bandaragama
EC-03C	Horana
EC-03D	Bulathsinhala
EC-03E	Mathugama
EC-03F	Kalutara
EC-03G	Beruwala
EC-03H	Agalawatta
EC-04A	Galagedara
EC-04B	Harispattuwa
EC-04C	Pathadumbara
EC-04D	Ududumbara
EC-04E	Teldeniya
EC-04F	Kundasale
EC-04G	Hewaheta
EC-04H	Senkadagala
EC-04I	Mahanuwara
EC-04J	Yatinuwara
EC-04K	Udunuwara
EC-04L	Gampola
EC-04M	Nawalapitiya
EC-05A	Dambulla
EC-05B	Laggala
EC-05C	Matale
EC-05D	Rattota
EC-06A	Nuwara Eliya Maskeliya
EC-06B	Kothmale
EC-06C	Hanguranketha
EC-06D	Walapane
EC-07A	Balapitiya
EC-07B	Ambalangoda
EC-07C	Karandeniya
EC-07D	Bentara Elpitiya
EC-07E	Hiniduma
EC-07F	Baddegama
EC-07G	Ratgama
EC-07H	Galle
EC-07I	Akmeemana
EC-07J	Habaraduwa
EC-08A	Deniyaya
EC-08B	Hakmana
EC-08C	Akuressa
EC-08D	Kamburupitiya
EC-08E	Devinuwara
EC-08F	Matara
EC-08G	Weligama
EC-09A	Mulkirigala
EC-09B	Beliatta
EC-09C	Tangalle
EC-09D	Thissamaharama
EC-10A	Kayts
EC-10B	Vaddukoddai
EC-10C	Kankesanthurai
EC-10D	Manipay
EC-10E	Kopay
EC-10F	Udupiddy
EC-10G	Point Pedro
EC-10H	Chavakachcheri
EC-10I	Nallur
EC-10J	Jaffna
EC-10K	Kilinochchi
EC-11A	Mannar
EC-11B	Vavuniya
EC-11C	Mullaitivu
EC-12A	Kalkudah
EC-12B	Batticaloa
EC-12C	Paddiruppu
EC-13A	Ampara
EC-13B	Samanthurai
EC-13C	Kalmunai
EC-13D	Pothuvil
EC-14A	Seruvila
EC-14B	Trincomalee
EC-14C	Muttur
EC-15A	Galgamuwa
EC-15B	Nikaweratiya
EC-15C	Yapahuwa
EC-15D	Hiriyala
EC-15E	Wariyapola
EC-15F	Panduwasnuwara
EC-15G	Bingiriya
EC-15H	Katugampola
EC-15I	Kuliyapitiya
EC-15J	Dambadeniya
EC-15K	Polgahawela
EC-15L	Kurunegala
EC-15M	Mawathagama
EC-15N	Dodangaslanda
EC-16A	Puttalam
EC-16B	Anamaduwa
EC-16C	Chilaw
EC-16D	Nattandiya
EC-16E	Wennappuwa
EC-17A	Medawachchiya
EC-17B	Horowpothana
EC-17C	Anuradhapura East
EC-17D	Anuradhapura West
EC-17E	Kalawewa
EC-17F	Mihinthale
EC-17G	Kekirawa
EC-18A	Minneriya
EC-18B	Medirigiriya
EC-18C	Polonnaruwa
EC-19A	Mahiyanganaya
EC-19B	Viyaluwa
EC-19C	Passara
EC-19D	Badulla
EC-19E	Hali Ela
EC-19F	Uva Paranagama
EC-19G	Welimada
EC-19H	Bandarawela
EC-19I	Haputale
EC-20A	Bibile
EC-20B	Monaragala
EC-20C	Wellawaya
EC-21A	Eheliyagoda
EC-21B	Ratnapura
EC-21C	Pelmadulla
EC-21D	Balangoda
EC-21E	Rakwana
EC-21F	Nivithigala
EC-21G	Kalawana
EC-21H	Kolonna
EC-22A	Dedigama
EC-22B	Galigamuwa
EC-22C	Kegalle
EC-22D	Rambukkana
EC-22E	Mawanella
EC-22F	Aranayaka
EC-22G	Yatiyanthota
EC-22H	Ruwanwella
EC-22I	Deraniyagala
