id	name	area_sqkm	center_lat	center_lng	other_names
LK-1	Western	3720.39	6.834692	80.06675	மேல் மாகாணம்,බස්නාහිර පළාත
LK-2	Central	5731.25	7.324022	80.717397	மத்திய மாகாணம்,මධ්‍යම පළාත
LK-3	Southern	5544.92	6.218721	80.717092	தென் மாகாணம்,දකුණු පළාත
LK-4	Northern	9037.42	9.136573	80.344321	Nothern,வட மாகாணம்,උතුරු පළාත
LK-5	Eastern	9647.27	7.746351	81.405582	கிழக்கு மாகாணம்,නැගෙනහිර පළාත
LK-6	North Western	8039.59	7.785644	80.109754	வட மேல் மாகாணம்,වයඹ පළාත
LK-7	North Central	10688.0	8.262907	80.680367	வட மத்திய மாகாணம்,උතුරු මැද පළාත
LK-8	Uva	8629.94	6.882412	81.216329	ஊவா மாகாணம்,ඌව පළාත
LK-9	Sabaragamuwa	4944.81	6.76017	80.490859	சபரகமுவ மாகாணம்,සබරගමුව පළාත
